,risk,investment,entrepreneurship,venture,novel,innovation,patent,Divestiture,acquire,diversify,failure,success,family,house,tradition,history,reputation,proud,empire,son,grandson,sister,brother,parent,father,grandfather
AlkaIndia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlpsIndustries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AmaraRajaBatteries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnaInfrastructures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AshianaIspat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AsianPaints,-0.3025666666666667,0.12629230769230768,0.0,0.270625,0.0,0.6032666666666666,0.0,0.0,0.16555,0.0,0.0,0.6349400000000001,0.0,0.2423,0.4588,0.0,0.0,0.0,0.0,0.247925,0.0,0.0,0.0,0.0,0.0,0.0
BhorukaAluminium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ChordiaFoodProducts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dai_IchiKarkaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GodrejIndustries,-0.09582954545454547,0.3271418604651159,0.0,0.30691060606060605,0.3182,0.48653076923076927,0.0,0.0,0.30264599999999997,0.4215,-0.1923500000000001,0.6830125,0.4021,0.41878947368421054,0.5574,0.0,0.7637,0.0,0.0,0.2768048582995952,0.0,0.0,0.1101,0.015383333333333324,0.2202,0.0
InvestmentandPrecisionCastings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITLIndustries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JagsonpalPharmaceuticals,-0.16915000000000002,0.26977142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.07605,0.0,0.0,0.8271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1380833333333333,0.0,0.0,0.0,0.886,0.0,0.0
JayKayEnterprises,0.0,0.36524615384615383,0.0,0.31845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5267,0.0,0.0,0.0,0.0,0.0,0.372725,0.0,0.0,0.0,0.0,0.0,0.0
JindalPolyFilms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PearlPolymers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PolarIndustries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RubberProducts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SanghviMovers,0.1697,0.11430833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6951499999999999,0.0,0.0,0.8608,-0.2732,0.10928,0.0,0.0,0.0,0.0,0.0,0.2778318181818183,0.0,0.0,0.0,0.0,0.0,0.0
ShantivijayJewels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SimmondsMarshall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
