,risk,investment,entrepreneurship,venture,novel,innovation,patent,Divestiture,acquire,diversify,failure,success
AlkaIndia,,,,,,,,,,,,
AlpsIndustries,,,,,,,,,,,,
AmaraRajaBatteries,,,,,,,,,,,,
AnnaInfrastructures,,,,,,,,,,,,
AshianaIspat,,,,,,,,,,,,
AsianPaints,<begin>0.1779<end>,<begin>0.2023<end><begin>0.0<end><begin>-0.3885<end><begin>0.0772<end><begin>0.0<end><begin>-0.2263<end><begin>-0.2263<end>,,<begin>0.0<end><begin>0.0<end><begin>0.5719<end>,,,,,<begin>0.5574<end><begin>-0.2263<end>,,,<begin>0.128<end>
BhorukaAluminium,,,,,,,,,,,,
ChordiaFoodProducts,,,,,,,,,,,,
Dai_IchiKarkaria,,,,,,,,,,,,
GodrejIndustries,,,,,,,,,,,,
InvestmentandPrecisionCastings,,,,,,,,,,,,
ITLIndustries,,,,,,,,,,,,
JagsonpalPharmaceuticals,,,,,,,,,,,,
JayKayEnterprises,,,,,,,,,,,,
JindalPolyFilms,,,,,,,,,,,,
PearlPolymers,,,,,,,,,,,,
PolarIndustries,,,,,,,,,,,,
RubberProducts,,,,,,,,,,,,
SanghviMovers,,,,,,,,,,,,
ShantivijayJewels,,,,,,,,,,,,
SimmondsMarshall,,,,,,,,,,,,
Trent,,,,,,,,,,,,
