,risk,investment,entrepreneurship,venture,novel,innovation,patent,Divestiture,acquire,diversify,failure,success
AlkaIndia,,,,,,,,,,,,
AlpsIndustries,,,,,,,,,,,,
AmaraRajaBatteries,,,,,,,,,,,,
AnnaInfrastructures,,,,,,,,,,,,
AshianaIspat,,,,,,,,,,,,
AsianPaints,,,,,,,,,,,,
BhorukaAluminium,,,,,,,,,,,,
ChordiaFoodProducts,,,,,,,,,,,,
Dai_IchiKarkaria,,,,,,,,,,,,
GodrejIndustries,,,,,,,,,,,,
InvestmentandPrecisionCastings,,,,,,,,,,,,
ITLIndustries,,,,,,,,,,,,
JagsonpalPharmaceuticals,<begin>-0.1531<end><begin>-0.1852<end>,<begin>0.1779<end><begin>-0.296<end><begin>-0.2306<end><begin>0.347<end><begin>0.0<end><begin>0.5945<end><begin>-0.0772<end><begin>0.9287<end>,,,,,,,<begin>0.1779<end><begin>-0.0258<end>,,,<begin>0.8271<end>
JayKayEnterprises,,,,,,,,,,,,
JindalPolyFilms,,,,,,,,,,,,
PearlPolymers,,,,,,,,,,,,
PolarIndustries,,,,,,,,,,,,
RubberProducts,,,,,,,,,,,,
SanghviMovers,,,,,,,,,,,,
ShantivijayJewels,,,,,,,,,,,,
SimmondsMarshall,,,,,,,,,,,,
Trent,,,,,,,,,,,,
