,risk,investment,entrepreneurship,venture,novel,innovation,patent,Divestiture,acquire,diversify,failure,success
AlkaIndia,,,,,,,,,,,,
AlpsIndustries,,,,,,,,,,,,
AmaraRajaBatteries,,,,,,,,,,,,
AnnaInfrastructures,,,,,,,,,,,,
AshianaIspat,,,,,,,,,,,,
AsianPaints,,,,,,,,,,,,
BhorukaAluminium,,,,,,,,,,,,
ChordiaFoodProducts,,,,,,,,,,,,
Dai_IchiKarkaria,,,,,,,,,,,,
GodrejIndustries,,,,,,,,,,,,
InvestmentandPrecisionCastings,,,,,,,,,,,,
ITLIndustries,,,,,,,,,,,,
JagsonpalPharmaceuticals,,,,,,,,,,,,
JayKayEnterprises,,<begin>-0.4019<end><begin>0.2732<end><begin>0.5267<end><begin>0.0<end><begin>0.0<end><begin>-0.5681<end><begin>0.9774<end><begin>0.9803<end><begin>-0.296<end><begin>0.5574<end><begin>0.3535<end><begin>0.296<end><begin>0.9304<end><begin>0.9374<end><begin>0.7579<end><begin>0.0<end><begin>0.0<end><begin>0.0<end><begin>0.0<end><begin>0.0<end><begin>0.6705<end><begin>0.0<end><begin>-0.4215<end><begin>0.7804<end><begin>0.296<end><begin>0.3182<end><begin>0.0<end><begin>0.5859<end><begin>0.5859<end><begin>0.1531<end><begin>0.8519<end>,,<begin>0.0<end><begin>0.6369<end><begin>0.4939<end>,,<begin>0.3818<end>,,,,,<begin>-0.5106<end>,<begin>0.4767<end>
JindalPolyFilms,,,,,,,,,,,,
PearlPolymers,,,,,,,,,,,,
PolarIndustries,,,,,,,,,,,,
RubberProducts,,,,,,,,,,,,
SanghviMovers,,,,,,,,,,,,
ShantivijayJewels,,,,,,,,,,,,
SimmondsMarshall,,,,,,,,,,,,
Trent,,,,,,,,,,,,
