,risk,investment,entrepreneurship,venture,novel,innovation,patent,Divestiture,acquire,diversify,failure,success,family,house,tradition,history,reputation,proud,empire,son,grandson,sister,brother,parent,father,grandfather
AlkaIndia,,,,,,,,,,,,,,,,,,,,,,,,,,
AlpsIndustries,,,,,,,,,,,,,,,,,,,,,,,,,,
AmaraRajaBatteries,,,,,,,,,,,,,,,,,,,,,,,,,,
AnnaInfrastructures,,,,,,,,,,,,,,,,,,,,,,,,,,
AshianaIspat,,,,,,,,,,,,,,,,,,,,,,,,,,
AsianPaints,<begin>-0.34<end><begin>-0.7456<end>,<begin>0.7269<end><begin>0.3818<end><begin>0.5106<end><begin>0.0<end><begin>0.3818<end><begin>0.2023<end>,,<begin>0.5106<end>,,<begin>0.7184<end><begin>0.7096<end><begin>0.3818<end>,,,,,,<begin>0.5859<end><begin>0.8221<end><begin>0.7269<end><begin>0.9118<end>,,<begin>0.0<end><begin>0.7269<end><begin>0.0<end>,,,,,,<begin>0.0<end><begin>0.8225<end><begin>0.0<end><begin>0.0<end><begin>0.6908<end>,,,,,,
BhorukaAluminium,,,,,,,,,,,,,,,,,,,,,,,,,,
ChordiaFoodProducts,,,,,,,,,,,,,,,,,,,,,,,,,,
Dai_IchiKarkaria,,,,,,,,,,,,,,,,,,,,,,,,,,
GodrejIndustries,,,,,,,,,,,,,,,,,,,,,,,,,,
InvestmentandPrecisionCastings,,,,,,,,,,,,,,,,,,,,,,,,,,
ITLIndustries,,,,,,,,,,,,,,,,,,,,,,,,,,
JagsonpalPharmaceuticals,,,,,,,,,,,,,,,,,,,,,,,,,,
JayKayEnterprises,,,,,,,,,,,,,,,,,,,,,,,,,,
JindalPolyFilms,,,,,,,,,,,,,,,,,,,,,,,,,,
PearlPolymers,,,,,,,,,,,,,,,,,,,,,,,,,,
PolarIndustries,,,,,,,,,,,,,,,,,,,,,,,,,,
RubberProducts,,,,,,,,,,,,,,,,,,,,,,,,,,
SanghviMovers,,,,,,,,,,,,,,,,,,,,,,,,,,
ShantivijayJewels,,,,,,,,,,,,,,,,,,,,,,,,,,
SimmondsMarshall,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent,,,,,,,,,,,,,,,,,,,,,,,,,,
