,risk,investment,entrepreneurship,venture,novel,innovation,patent,Divestiture,acquire,diversify,failure,success,family,house,tradition,history,reputation,proud,empire,son,grandson,sister,brother,parent,father,grandfather
AlkaIndia,,,,,,,,,,,,,,,,,,,,,,,,,,
AlpsIndustries,,,,,,,,,,,,,,,,,,,,,,,,,,
AmaraRajaBatteries,,,,,,,,,,,,,,,,,,,,,,,,,,
AnnaInfrastructures,,,,,,,,,,,,,,,,,,,,,,,,,,
AshianaIspat,,,,,,,,,,,,,,,,,,,,,,,,,,
AsianPaints,,,,,,,,,,,,,,,,,,,,,,,,,,
BhorukaAluminium,,,,,,,,,,,,,,,,,,,,,,,,,,
ChordiaFoodProducts,,,,,,,,,,,,,,,,,,,,,,,,,,
Dai_IchiKarkaria,,,,,,,,,,,,,,,,,,,,,,,,,,
GodrejIndustries,,,,,,,,,,,,,,,,,,,,,,,,,,
InvestmentandPrecisionCastings,,,,,,,,,,,,,,,,,,,,,,,,,,
ITLIndustries,,,,,,,,,,,,,,,,,,,,,,,,,,
JagsonpalPharmaceuticals,,,,,,,,,,,,,,,,,,,,,,,,,,
JayKayEnterprises,,,,,,,,,,,,,,,,,,,,,,,,,,
JindalPolyFilms,,,,,,,,,,,,,,,,,,,,,,,,,,
PearlPolymers,,,,,,,,,,,,,,,,,,,,,,,,,,
PolarIndustries,,,,,,,,,,,,,,,,,,,,,,,,,,
RubberProducts,,,,,,,,,,,,,,,,,,,,,,,,,,
SanghviMovers,<begin>0.1697<end>,<begin>0.3818<end><begin>0.2732<end><begin>0.0<end><begin>0.0<end><begin>0.0<end><begin>0.5423<end><begin>0.0803<end><begin>-0.296<end><begin>-0.1082<end><begin>0.296<end><begin>0.0<end><begin>0.2023<end>,,,,,,,<begin>0.9688<end><begin>0.4215<end>,,,<begin>0.8608<end>,<begin>-0.2732<end><begin>-0.2732<end>,<begin>0.2732<end><begin>0.0<end><begin>0.2732<end><begin>0.0<end><begin>0.0<end>,,,,,,<begin>0.4767<end><begin>0.8402<end><begin>0.9325<end><begin>0.7783<end><begin>0.0<end><begin>0.0<end><begin>0.3182<end><begin>0.6908<end><begin>0.0<end><begin>0.34<end><begin>0.0<end><begin>0.0<end><begin>0.0<end><begin>0.0<end><begin>0.0<end><begin>0.4019<end><begin>0.0<end><begin>0.4019<end><begin>0.4019<end><begin>0.4019<end><begin>0.0<end><begin>0.128<end>,,,,,,
ShantivijayJewels,,,,,,,,,,,,,,,,,,,,,,,,,,
SimmondsMarshall,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent,,,,,,,,,,,,,,,,,,,,,,,,,,
