,risk,investment,entrepreneurship,venture,novel,innovation,patent,Divestiture,acquire,diversify,failure,success,family,house,tradition,history,reputation,proud,empire,son,grandson,sister,brother,parent,father,grandfather
AlkaIndia,,,,,,,,,,,,,,,,,,,,,,,,,,
AlpsIndustries,,,,,,,,,,,,,,,,,,,,,,,,,,
AmaraRajaBatteries,,,,,,,,,,,,,,,,,,,,,,,,,,
AnnaInfrastructures,,,,,,,,,,,,,,,,,,,,,,,,,,
AshianaIspat,,,,,,,,,,,,,,,,,,,,,,,,,,
AsianPaints,,,,,,,,,,,,,,,,,,,,,,,,,,
BhorukaAluminium,,,,,,,,,,,,,,,,,,,,,,,,,,
ChordiaFoodProducts,,,,,,,,,,,,,,,,,,,,,,,,,,
Dai_IchiKarkaria,,,,,,,,,,,,,,,,,,,,,,,,,,
GodrejIndustries,,,,,,,,,,,,,,,,,,,,,,,,,,
InvestmentandPrecisionCastings,,,,,,,,,,,,,,,,,,,,,,,,,,
ITLIndustries,,,,,,,,,,,,,,,,,,,,,,,,,,
JagsonpalPharmaceuticals,,,,,,,,,,,,,,,,,,,,,,,,,,
JayKayEnterprises,,,,,,,,,,,,,,,,,,,,,,,,,,
JindalPolyFilms,,,,,,,,,,,,,,,,,,,,,,,,,,
PearlPolymers,,,,,,,,,,,,,,,,,,,,,,,,,,
PolarIndustries,,,,,,,,,,,,,,,,,,,,,,,,,,
RubberProducts,,,,,,,,,,,,,,,,,,,,,,,,,,
