,risk,investment,entrepreneurship,venture,novel,innovation,patent,Divestiture,acquire,diversify,failure,success
AlkaIndia,,,,,,,,,,,,
AlpsIndustries,,,,,,,,,,,,
AmaraRajaBatteries,,,,,,,,,,,,
AnnaInfrastructures,,,,,,,,,,,,
AshianaIspat,,,,,,,,,,,,
AsianPaints,<begin>0.1779<end><begin>-0.128<end><begin>-0.34<end><begin>-0.7456<end>,<begin>0.2023<end><begin>0.0<end><begin>-0.1613<end><begin>0.0772<end><begin>0.0<end><begin>-0.2263<end><begin>-0.2263<end><begin>0.8807<end><begin>0.7269<end><begin>0.3818<end><begin>0.5106<end><begin>0.0<end><begin>0.3818<end><begin>0.2023<end>,,<begin>0.0<end><begin>0.0<end><begin>0.5719<end><begin>0.8807<end><begin>0.5106<end>,,<begin>0.7184<end><begin>0.7096<end><begin>0.3818<end>,,,<begin>0.5574<end><begin>-0.2263<end>,,,<begin>-0.2732<end><begin>0.5859<end><begin>0.8221<end><begin>0.7269<end><begin>0.9118<end>
BhorukaAluminium,,,,,,,,,,,,
ChordiaFoodProducts,,,,,,,,,,,,
Dai_IchiKarkaria,,,,,,,,,,,,
GodrejIndustries,<begin>-0.4939<end><begin>0.2263<end><begin>-0.2732<end><begin>-0.2732<end><begin>-0.0857<end><begin>0.4215<end><begin>-0.34<end><begin>-0.7717<end><begin>-0.2732<end><begin>-0.4404<end><begin>-0.2732<end><begin>-0.2732<end><begin>0.7184<end><begin>-0.2732<end><begin>0.2263<end><begin>0.34<end><begin>0.7269<end><begin>0.0772<end><begin>-0.4939<end><begin>-0.6166<end><begin>-0.4939<end><begin>-0.5423<end><begin>-0.34<end><begin>0.8658<end><begin>0.936<end><begin>-0.7096<end><begin>-0.1531<end><begin>-0.0258<end><begin>-0.4404<end><begin>-0.2732<end><begin>-0.4404<end><begin>-0.2732<end><begin>-0.2732<end><begin>-0.2732<end><begin>-0.1531<end><begin>-0.0258<end><begin>-0.4404<end><begin>-0.2732<end><begin>-0.2732<end><begin>-0.2732<end><begin>-0.2732<end><begin>0.25<end><begin>0.9834<end><begin>-0.2732<end><begin>-0.2732<end><begin>-0.2732<end>,<begin>0.9811<end><begin>-0.1363<end><begin>0.8256<end><begin>0.6739<end><begin>0.0<end><begin>0.6739<end><begin>0.8256<end><begin>0.6739<end><begin>0.0<end><begin>0.0<end><begin>0.0<end><begin>0.7351<end><begin>0.6908<end><begin>0.6908<end><begin>0.6908<end><begin>0.5859<end><begin>0.0<end><begin>0.5859<end><begin>0.93<end><begin>0.0<end><begin>0.0<end><begin>0.0<end><begin>0.0<end><begin>-0.7717<end><begin>0.5994<end><begin>0.4767<end><begin>0.296<end><begin>0.0<end><begin>0.0917<end><begin>0.91<end><begin>0.6597<end><begin>0.4215<end><begin>0.5574<end><begin>0.34<end><begin>0.0<end><begin>0.5267<end><begin>0.7783<end><begin>0.946<end><begin>0.4215<end><begin>0.0<end><begin>0.7845<end><begin>0.34<end><begin>0.0<end><begin>0.34<end><begin>0.7783<end><begin>0.3612<end><begin>0.4019<end><begin>0.1027<end><begin>0.0<end><begin>0.0<end><begin>0.9371<end><begin>0.8718<end><begin>0.1531<end><begin>0.5267<end><begin>0.0<end><begin>0.25<end><begin>0.0917<end><begin>0.9808<end><begin>0.4767<end><begin>0.5574<end><begin>-0.2263<end><begin>0.296<end><begin>0.296<end><begin>0.296<end><begin>0.765<end><begin>0.9517<end><begin>0.0<end><begin>0.34<end><begin>0.7783<end><begin>0.3612<end><begin>0.6124<end><begin>0.296<end><begin>0.8271<end><begin>0.25<end><begin>0.0<end><begin>0.0<end><begin>0.34<end><begin>-0.2942<end><begin>0.4019<end><begin>-0.296<end><begin>0.0<end><begin>0.5574<end><begin>0.9186<end><begin>0.0<end><begin>0.0<end><begin>0.6369<end><begin>0.9841<end><begin>0.0943<end><begin>0.0<end><begin>0.0<end><begin>-0.4588<end><begin>-0.3612<end><begin>0.8809<end><begin>0.0<end><begin>0.6815<end><begin>0.0<end><begin>0.0<end><begin>-0.4215<end><begin>0.7269<end><begin>0.0<end><begin>-0.7096<end><begin>-0.0772<end><begin>-0.0772<end><begin>-0.0772<end><begin>-0.0772<end><begin>0.9732<end><begin>0.0<end><begin>-0.296<end><begin>-0.296<end><begin>-0.296<end><begin>-0.4767<end><begin>0.4767<end><begin>0.296<end><begin>0.0<end><begin>0.2862<end><begin>0.9371<end><begin>0.93<end><begin>0.9445<end><begin>0.34<end><begin>0.296<end><begin>0.5719<end><begin>0.7906<end><begin>0.0<end><begin>0.7447<end><begin>0.3612<end><begin>-0.1027<end><begin>0.0<end><begin>0.0<end><begin>0.34<end><begin>0.7783<end><begin>0.3612<end><begin>0.296<end><begin>0.4019<end><begin>0.0<end><begin>0.1027<end><begin>0.4404<end><begin>0.9337<end><begin>0.0<end><begin>0.0<end><begin>0.2023<end><begin>0.9477<end><begin>0.7269<end><begin>0.0<end><begin>0.4019<end><begin>0.0516<end><begin>0.9274<end><begin>0.875<end><begin>0.886<end><begin>0.4824<end><begin>0.1531<end><begin>0.25<end><begin>0.2632<end><begin>0.9538<end><begin>0.9432<end><begin>0.5994<end><begin>0.0<end><begin>0.296<end><begin>0.3818<end><begin>0.3818<end><begin>0.7447<end><begin>0.9042<end><begin>-0.2732<end><begin>0.4404<end><begin>0.0<end><begin>0.34<end><begin>0.7783<end><begin>0.3612<end><begin>0.6124<end><begin>0.296<end><begin>0.8271<end><begin>0.25<end><begin>0.0<end><begin>0.0<end><begin>0.34<end><begin>0.0<end><begin>0.4019<end><begin>-0.4215<end><begin>0.2732<end><begin>-0.0258<end><begin>0.9661<end><begin>0.8442<end><begin>0.0<end><begin>0.0<end><begin>0.0<end><begin>0.0<end><begin>0.0<end><begin>0.7269<end><begin>0.0803<end><begin>0.0<end><begin>-0.7082<end><begin>0.7609<end><begin>0.6841<end><begin>0.3612<end><begin>0.0<end><begin>0.0<end><begin>0.8414<end><begin>0.4528<end><begin>0.6523<end><begin>0.5859<end><begin>0.5279<end><begin>0.0<end><begin>0.34<end><begin>0.0516<end><begin>0.4404<end><begin>0.6124<end><begin>0.0<end><begin>0.6705<end><begin>0.5423<end><begin>0.0516<end><begin>0.8293<end><begin>0.9349<end><begin>0.0<end><begin>0.296<end><begin>0.9783<end><begin>0.0<end><begin>-0.6486<end><begin>0.0<end><begin>-0.3612<end><begin>0.34<end><begin>0.9371<end><begin>0.6597<end><begin>0.0803<end><begin>0.0<end><begin>0.4793<end><begin>0.7479<end><begin>0.7096<end><begin>0.7184<end><begin>0.0803<end><begin>0.4404<end><begin>0.6124<end><begin>0.9477<end><begin>0.9349<end><begin>0.34<end><begin>0.0803<end><begin>0.4215<end><begin>0.9349<end><begin>0.9666<end><begin>-0.0772<end><begin>0.0803<end><begin>0.34<end><begin>0.0<end><begin>0.0<end><begin>0.0<end><begin>0.9702<end><begin>0.0<end><begin>0.9896<end><begin>0.0<end><begin>0.0<end><begin>0.34<end><begin>0.7783<end><begin>0.0<end><begin>-0.0772<end><begin>0.0<end><begin>0.9928<end><begin>0.0<end><begin>0.5267<end><begin>0.8957<end><begin>0.4215<end><begin>0.8225<end><begin>-0.2263<end><begin>0.0803<end><begin>0.0<end><begin>-0.2069<end><begin>0.6808<end><begin>0.802<end><begin>0.0<end><begin>-0.0566<end><begin>0.9824<end><begin>0.0<end><begin>0.0<end><begin>0.34<end><begin>0.1779<end><begin>0.6249<end><begin>-0.8591<end><begin>0.6486<end><begin>0.34<end><begin>0.9836<end><begin>0.0803<end><begin>0.0<end><begin>0.0661<end><begin>-0.2732<end><begin>-0.7339<end><begin>0.3612<end><begin>-0.8535<end><begin>-0.2732<end><begin>0.3086<end><begin>-0.0772<end><begin>0.0803<end><begin>0.0<end><begin>-0.1906<end><begin>0.1531<end><begin>0.7951<end><begin>0.7351<end><begin>0.7096<end><begin>0.0<end><begin>0.9325<end><begin>0.5267<end><begin>0.6597<end><begin>0.1027<end><begin>0.0803<end><begin>0.0<end><begin>-0.2128<end><begin>0.4767<end><begin>0.4509<end><begin>0.34<end><begin>0.0<end><begin>0.5267<end><begin>0.0<end><begin>0.0<end><begin>0.34<end><begin>0.296<end><begin>-0.0772<end><begin>0.0<end><begin>0.6705<end>,,<begin>0.0<end><begin>-0.7717<end><begin>0.4019<end><begin>0.9371<end><begin>0.7906<end><begin>0.5267<end><begin>0.25<end><begin>0.6124<end><begin>0.4767<end><begin>0.25<end><begin>-0.2263<end><begin>0.6124<end><begin>0.25<end><begin>0.4767<end><begin>-0.296<end><begin>-0.0516<end><begin>0.5719<end><begin>0.0<end><begin>0.9186<end><begin>0.6369<end><begin>0.4215<end><begin>0.7184<end><begin>0.0<end><begin>0.6597<end><begin>-0.7096<end><begin>0.0<end><begin>0.5719<end><begin>0.4019<end><begin>0.9477<end><begin>0.886<end><begin>0.25<end><begin>0.6124<end><begin>0.4767<end><begin>0.25<end><begin>0.3818<end><begin>0.0<end><begin>0.0<end><begin>-0.4215<end><begin>-0.2263<end><begin>0.6124<end><begin>0.25<end><begin>0.6369<end><begin>0.0<end><begin>-0.4767<end><begin>0.6486<end><begin>0.7717<end><begin>0.5423<end><begin>-0.6808<end><begin>-0.4215<end><begin>0.0<end><begin>0.25<end><begin>0.0<end><begin>0.6705<end><begin>0.2577<end><begin>0.4019<end><begin>-0.9578<end><begin>0.0<end><begin>0.1779<end><begin>0.7351<end><begin>0.0<end><begin>0.9153<end><begin>0.4767<end><begin>0.7096<end><begin>0.0258<end><begin>0.0258<end><begin>0.6249<end>,<begin>0.3182<end>,<begin>0.6369<end><begin>0.8286<end><begin>0.3818<end><begin>0.0<end><begin>0.7717<end><begin>0.5267<end><begin>0.3818<end><begin>0.8225<end><begin>0.3818<end><begin>0.3818<end><begin>0.5423<end><begin>0.5423<end><begin>-0.0085<end>,<begin>0.0<end>,,<begin>0.3182<end><begin>-0.8056<end><begin>0.0772<end><begin>0.0<end><begin>0.0<end><begin>0.5106<end><begin>0.6124<end><begin>-0.1531<end><begin>0.1027<end><begin>-0.4767<end><begin>0.2263<end><begin>0.9022<end><begin>0.9169<end><begin>-0.186<end><begin>0.2577<end><begin>0.0<end><begin>0.5106<end><begin>0.6486<end><begin>-0.1531<end><begin>0.1779<end><begin>0.2263<end><begin>0.9477<end><begin>0.9796<end><begin>0.0<end><begin>0.7269<end><begin>-0.0085<end><begin>0.0772<end><begin>0.0772<end><begin>0.296<end><begin>0.5106<end><begin>-0.1531<end><begin>0.1027<end><begin>0.7717<end><begin>0.2263<end><begin>0.9022<end><begin>0.9337<end><begin>0.891<end><begin>0.0<end><begin>0.5106<end><begin>-0.1531<end><begin>0.5574<end><begin>0.2263<end><begin>0.9022<end><begin>0.9861<end><begin>0.296<end><begin>0.4084<end><begin>0.3612<end><begin>0.7351<end><begin>0.7351<end><begin>0.9896<end><begin>0.0<end><begin>0.8807<end><begin>0.4215<end><begin>0.4215<end><begin>0.9674<end>,<begin>0.4215<end>,<begin>-0.8316<end><begin>-0.8316<end><begin>-0.7269<end><begin>-0.0253<end><begin>-0.0253<end><begin>-0.0253<end><begin>-0.0253<end><begin>-0.0253<end><begin>0.0521<end><begin>0.0521<end><begin>0.0521<end><begin>0.0521<end>,<begin>0.6486<end><begin>0.8625<end><begin>0.6249<end><begin>0.875<end><begin>0.7003<end><begin>0.765<end><begin>0.4939<end><begin>0.4939<end>
